lecture_name,url_id
취업과진로,2183783
서양철학:쟁점과토론,1950590
정부와행정,1627744
유체기계,1079775
초급중국어,2183036
교육철학의이해,2099762
교수학습이론,535082
평생교육론,2261893
마케팅관리,1079277
선형대수및프로그래밍,1788416
미시경제학,1950259
먹고즐기는자연,1703417
푸른바다생물이야기,1628805
인간커뮤니케이션,537510
자료구조및실습,1628314
사이버전개론,1788403
수치해석,2100116
확률통계및프로그래밍,2262169
일반물리및시뮬레이션,1628660
지구촌문화의이해와테마여행,1081597
한일문화와의만남,1703459
인적자원개발론,2099764
기업교육론,2099765
원격교육론,2261895
취창업과진로설계,2262294
English Listening Practice 1,2022691
생활일본어,1415300
미국사회와문학,856273
열역학,1079768
유체역학및연습,2262039
운영체제,2262170
문제해결및실습:C++,1628315
진로오딧세이,1950623
스마트프로덕트디자인1,1950555
프로덕트&모빌리티디자인1,2100149
디지털신호처리,538454
디지털논리회로,535997
데이터통신,536043
컴퓨팅사고기반기초코딩,1788505
소프트웨어기초코딩,2262255
기초반도체,536012
고체물리학1,535655
바이오자원공학,2022602
전자정부론,2261946
행정철학과윤리,1950286
지구과학개론,536968
프로그래밍언어의개념,1788277
웹프로그래밍,538519
레스토랑경영론,2262122
컴퓨터구조,2183605
영상디자인스튜디오1,2100259
채플3,536871
전자기1,1628447
기초반도체,2100040
English Listening Practice 1,1950596
융합적사고에기반한이공계글쓰기,2262259
경제학원론,1628476
디지털시스템,1788414
신소재과학1,535907
경영수학,1788517
수요집현강좌,1628765
English Listening Practice 1,1628709
경제학원론,1627818
재료열역학1,535902
진로설정과자기계발,2100193
생물화학공학,1080574
후성유전학,1788369
인지뇌과학,1080594
서양철학:쟁점과토론,1703314
English Listening Practice 1,1628715
경제학원론,1079260
경영학원론,537623
영어듣기연습,537080
중국어입문,1788014
거시경제의이해,1788029
시장경제의원리,1788016
건설관리및경영,1079934
건축기계설비시스템,1079932
한국현대사의이해,536906
신입생세미나,2183119
소프트웨어기초코딩,2262254
일변수미적분학,1788532
일반화학및실험1,537302
일반물리학및실험1,537268
문제해결을위한글쓰기와발표,536595
일반화학,1950633
K-MOOC:웨어러블컴퓨터디자인,1950616
English Listening Practice 1,2022690
재난대응과안전리더십,1415714
