lecture_name,url_id
취업과진로,2183783
서양철학:쟁점과토론,1950590
선형대수및프로그래밍,1788416
먹고즐기는자연,1703417
푸른바다생물이야기,1628805
인간커뮤니케이션,537510
자료구조및실습,1628314
수치해석,2100116
확률통계및프로그래밍,2262169
지구촌문화의이해와테마여행,1081597
한일문화와의만남,1703459
취창업과진로설계,2262294
English Listening Practice 1,2022691
생활일본어,1415300
미국사회와문학,856273
문제해결및실습:C++,1628315
진로오딧세이,1950623
디지털신호처리,538454
컴퓨팅사고기반기초코딩,1788505
소프트웨어기초코딩,2262255
지구과학개론,536968
웹프로그래밍,538519
컴퓨터구조,2183605
채플3,536871
English Listening Practice 1,1950596
융합적사고에기반한이공계글쓰기,2262259
디지털시스템,1788414
수요집현강좌,1628765
English Listening Practice 1,1628709
진로설정과자기계발,2100193
서양철학:쟁점과토론,1703314
English Listening Practice 1,1628715
영어듣기연습,537080
한국현대사의이해,536906
소프트웨어기초코딩,2262254
일변수미적분학,1788532
일변수미적분학, 1628855
일변수미적분학, 1788531
일변수미적분학, 1628853
문제해결을위한글쓰기와발표,536595
일반화학,1950633
K-MOOC:웨어러블컴퓨터디자인,1950616
English Listening Practice 1,2022690
재난대응과안전리더십,1415714
영상처리, 2262200
기계학습, 2183629
영상처리, 540514
컴퓨터네트워크, 1950544
수치해석, 2262198
자료구조, 2262186
자료구조, 1950537
인공지능, 1950538
자료구조, 1950542
자료구조, 2262178
자료구조, 2262157
알고리즘및실습, 2022637
알고리즘및실습, 2022632
디지털시스템, 1788414
디지털시스템, 2100139
컴퓨터구조및운영체제, 2262214
컴퓨터구조및운영체제, 2262201
컴퓨터구조및운영체제, 1950540
이산수학및프로그래밍, 1703285
이산수학및프로그래밍, 2022626
이산수학및프로그래밍, 1703284
이산수학및프로그래밍, 2183620
이산수학및프로그래밍, 1703284
고급C프로그래밍및실습, 1703283
고급C프로그래밍및실습, 1870218
고급C프로그래밍및실습, 1703280
고급C프로그래밍및실습, 1870216
고급C프로그래밍및실습, 1703280
고급C프로그래밍및실습, 1703281
고급C프로그래밍및실습, 1870217
C프로그래밍및실습, 1788410
C프로그래밍및실습, 1950536
C프로그래밍및실습, 2100125
C프로그래밍및실습, 2262185
C프로그래밍및실습, 2100126
C프로그래밍및실습, 1628666
C프로그래밍및실습, 1628667
C프로그래밍및실습, 1950567
선형대수및프로그래밍, 1788416
선형대수및프로그래밍, 1788421
선형대수및프로그래밍, 2262188
확률통계및프로그래밍, 2183640
확률통계및프로그래밍, 1870229
신호및시스템, 2022633
신호및시스템, 2183637
통신시스템, 1950546
통신시스템, 2262199
창의SW기초설계, 2262207
창의SW기초설계, 2100140
창의SW기초설계, 1870223
창의SW기초설계, 1870225
창의SW기초설계, 2100141
창의SW융합노마드, 2022628
창의SW융합노마드, 2022629
창의SW융합노마드, 2183621
창의SW융합노마드, 2183622
창의SW융합노마드, 2022630
JAVA프로그래밍, 2100129
웹프로그래밍, 1870227
웹프로그래밍, 2183625
웹프로그래밍, 2262211
웹프로그래밍, 2183638
웹프로그래밍, 2022638
전자회로, 1950545
전기회로, 1788413
전기회로, 2262191
전기회로실험, 1870224
전기회로실험, 1870228
반도체소자, 2262213
반도체공정, 2100143
물리전자공학, 2183636
디지털신호처리, 2022640
사물인터넷, 2183641
동역학, 1788411
동역학, 2183623
딥러닝시스템, 2262204
동적시스템모델링, 2100131
동적시스템모델링, 2262194
자동제어, 1950539
자동제어, 2262195
로보틱스, 2022634
선형대수및프로그래밍, 2100130
디지털시스템, 2100128
공업수학1, 1703365
공업수학1, 1703364
공업수학1, 2183812
공업수학1, 1870284
